inputs,summaries
"BritishAirways how long is it before you contact someone whos taken my bag by mistake. Ive got a lost luggage ref number. Got told today that a similar bag got left so thats who probably has mine. Ive got the majority of my clothes in it and want them back asap. <BR> Were sorry, Dan. If we delivered your bag to the carousel and someone else picked it up were not responsible for contacting them on your behalf. However, if theres been a bag left behind well do all we can to get in touch with that customer for them to retrieve it. Julie <BR> BritishAirways When I spoke to BA on the phone earlier they said there had been a bag left behind that is similar. They said you cant return theirs until mine has been returned. Its a bit annoying that you cant contact them and enquire if they have mine by mistake. What are my options? <BR> Hi Dan, I can appreciate your frustration. Unfortunately, were unable to do anything until your bag has been returned, as you already know. You could contact the police and report your bag as stolen, or file a lost bag claim with your travel insurance company. Linds <BR> BritishAirways So people can just get off your flights and take whatever baggage they want? great that is! You literally have to ring up one person and you wont, Ill not be using BA again in a hurry! <BR> Hi Dan. As soon as the passenger who has collected your bag gets back in touch with us, well have more information. Im sorry were unable to assist further. Kev <BR> BritishAirways Thanks Kev how long do I need to leave it before putting a claim in with you or the insurance? <BR> Hi Dan. If another passenger has your bag, you wouldnt be able to make a claim with us. You may be able to claim through your insurance so you may want to contact them. Kev <BR> BritishAirways So is there absolutely no possibility that you can contact the person whos bag was left and ask. Obviously I would but you wouldnt be able to give me their details. Ive got presents etc in the bag and no money to replace them now, so its essentially ruined my Christmas. <BR> We wouldnt be able to give you their details for data protection reasons, Dan. We cant guarantee we can do anything, as your bag arrived on the carousel. However, please DM us your baggage ref, email and postal address. Leanne <BR> BritishAirways Hi Leanne Ive sent the message thanks Dan <BR>","Someone else has taken their bag after a flight and left their own similar case and wants to know when BA will contact the customer, also asks when they can make an insurance claim. Says that BA will not take any steps to contact the person to return the mistaken bag and that the customer could contact the police and report their bag stolen."
"AmazonHelp why do yall disconnect while in cut when youre in the wrong? Im so upset with your CS and would like to speak to a Supervisor <BR> I hate that this happened. Without providing personal info, can you tell us whats going on? Wed like to help if we can. AL <BR> AmazonHelp Money was taken from my debit card for services Ive never even used or received and now my money was put on another card? Yea ok <BR> AmazonHelp Howd yall take my money from one card but say you refunded it to a whole other card? amp dont feel I should be compensated your mishap <BR> Im sorry for the frustration so far. When you spoke with us, what insight was provided for you? SJ <BR> AmazonHelp That I would have to locate where they supposedly refunded it to. Why charge my card but not refund my card? Then just cut me off in chat <BR> Im so sorry for the poor experience. Wed like another chance to look into it with you via phone <LINK> WJ <BR> AmazonHelp Ive tried that twice already! Whats the next step for me to take on this matter? Supervisor or management? I have all the screenshots <BR> AmazonHelp And emails too <BR> Reaching out via the link above would be the next step, so we can take care of it appropriately by phone. QJ <BR>",Customer is complaining about the money deducted from his/her card. Agent stated that they will connect through phone and resolve the issue.
"azuresupport azTechHelp Como configuro una VPNGateway entre una red virtual de Azure y una red local personal? <BR> Just checking, do the details on <LINK> help in any way? If not, let 1 FC <BR> us know and we can look at this in more details, if needed. 2 FC <BR> AzureSupport en mi red virtual de azure tengo la subred default y ocupa todo el rango de direcciones, como la elimino si tengo una maquina virtual. <LINK> <BR> Could you please sum up your questions about VPN Gateway in English here <LINK> and send us the link? SN <BR> AzureSupport <LINK> Is this the right link? Can you see my question with the title How to configure VPN Gateway in my virtual net of ? <BR> Got it, thanks. We have flagged these details with our team and someone will be in touch through the forum. FC <BR> Looks like your forum has received a response. Can you review the response and confirm if you have any further concerns? FC <BR>",Needs instructions on how to configure the vpn gateway. Someone will respond through the forum.
"Really wish marksandspencer had more vegetarian options in their meal deals. Getting tired of only having one choice or none at all. <BR> Were limited by stock availability as to what we include in our promotions, but our team are looking into this. Thanks. <BR> marksandspencer How do you work out stock availability then? <BR> Hi Jasmine, each store is different depending on space. Which offers do you usually treat yourself to? <BR> marksandspencer Its usually the dine in for two for 10 mainly <BR> Thanks, Jasmine please can we ask which stores you usually visit too? <BR> marksandspencer Mostly its the one at Glasgow silverburn I go to. <BR> Thanks, Jasmine well let our Food team know. <BR>",The client has many questions. The agent answers all questions even if they are not problems to solve.
"sainsburys bought a celcus tv from your Finchley store last year in December and it stopped working yesterday can you repair it or change <BR> sainsburys Your cctv recording from the date we bought it <BR> Can you confirm did you pay cash or card for the telvision? We accept creditdebit card statements as a proof of purchase. Steven <BR> sainsburys Yes. I paid by card, I think there were other things I bought with the tv as well , but I remember the price of the television was 175 <BR> sainsburys Actually, I just checked my bank statements and I bought the tv in January 2017 and not dec 2016 and paid for it by card 175 <BR> We would use the bank statements transaction ID to match our till receipts. If you return the television with your creditdebit card.12 <BR> .statement our in store colleagues will advise you further. Steven 22 <BR> sainsburys Great! Thank you. <BR> sainsburys One last question, Ive recycled the Tvs box is it rwqur <BR> sainsburys Required <BR> As long as youve got proof of purchase youll be fine Dimitar! Ewan <BR>",Customer is asking to repair or change the television which is not working. Agent updated to return the television with their credit/debit card.
"DellCares any idea why this happened to my laptop <LINK> <BR> with your Dell system. Did you try to run Dell diagnostics on the computer to reach here? 2 <BR> The system seems to be having LCD screen flickering issue. I sincerely apologize for the technical troubles you are experiencing 1 <BR> 5 Also, please DM us the system service tag along with registered owners name.RC <BR> BIOS screen F2 during startup to check if the issue reoccurs? 4 <BR> Is this issue intermittent? Does the same issue occur on the Dell logo screen during startup? Please boot into the 3 <BR> To Find Service Tag <LINK> <BR> Hope you are doing fine. This is a follow up message. Please share the details requested so that we can check and assist you further.RC <BR> DellCares I turned the pc off when it had the flickering issue, then turned it on again and now I no longer have the issue. <BR> DellCares It happened when I moved it while it was on, happened once before. Not really a big deal was just wondering. Thanks <BR> We would suggest you to observe the system for a little longer and let us know if anything comes up. SD <BR> Since the issue is not reoccurring, we will archive this case for now. Please reach out to us at your convenience and 1 <BR> 2 we will have your system concern addressed. RC <BR>",Had flickering issues on Dell laptop when he moved it. Advises running Dell diagnostics.
"O2 advertising you have the iPhone x, yet you have none to supply your customers, shambles and time to move to a new supplier <BR> Hi there, have you placed a preorder? <BR> O2 Yes, told 20th December, shocking ! <BR> Wait times can vary depending on the time you ordered amp the colour and size chosen. Well get it out to you as soon as we can <BR> O2 Not good enough o2, I can join Vodafone today and get one ! What a flippant non action reply, absolute shambles ! ! <BR> O2 Not a care for customers was given ! Shame on you o2, I have 4 separate phone accounts, I will be moving all of them <BR> The device is in high demand. Please let us know if youd like us to check your expected delivery time. <BR> O2 <LINK> <BR> O2 These are the details <LINK> <BR> Your expected delivery date is the 20th Dec but if we can get it to you sooner we will. Well drop you a text when its ready. <BR> Wed recommend deleting these tweets as they are public and contain your personal info. If youd like to DM click here <LINK> <BR>",Pre ordered the iPhone x but there are none available. Explains availability depends on exact model chosen and advises for this customer delivery date is 20th Dec.
". if an ATM doesnt work because of suspicious activity out of your normal withdrawl zone why does it take out ur act? <BR> . now hundreds taken out of my act. And now not gonna show up til Tuesday? <BR> Hello, were here to help. mm <BR> Please use link below to send your full nameZIPphoneaccount type and well follow up with you. mm <BR> BofAHelp Dont see a link. <BR> BofAHelp Sent a DM, tried calling in but said the wait time was 42 minutes. <BR> I called and left a message for you. Whats the best time to reach you? kc <BR> BofAHelp I just missed it call again <BR> BofAHelp I called back entered extension. On hold leaving u a vm <BR> I called and left a message for you. Please let us know if you still need help. kc <BR> BofAHelp I called back and left a VM and tweeted right back. But of course never heard anything besides a tweet almost a day later <BR> I called back and left a message. Please let us know when is good time to call you. kc <BR>",Customer is asking about the denied transaction at the ATM he faced. Agent is requesting to know the right time to call the customer.
"My touchpad stopped working after FallCreatorsUpdate, and it is so persistent despite everything I tried including downloading vendor drivers, Synaptics drivers, all kinds of drivers. Still yellow exclamation mark. MicrosoftHelps <BR> Hello. Lets take a look at this. To troubleshoot this issue, follow Harshavardhan Rathods post on this link <LINK> <BR> MicrosoftHelps I tried all steps he suggested. None worked, unfortunately. Still, like this I am really disappointed. <LINK> <BR> Lets sort the touchpad issue by performing a clean boot, heres how <LINK> <BR> MicrosoftHelps I performed a clean boot, tried installing vendor provided drivers, drivers downloaded from Synaptic website, Windows drivers I have a diskette None worked. Any other suggestions? I am using an HP notebook. <BR> Got it. For indepth troubleshooting in resolving this issue, lets seek the help of our Answer Desk team. Contact them here <LINK> <BR> Hello. Just checking up on you. Were you able to contact our Answer Desk team? <BR> MicrosoftHelps Honestly I skipped this last step you suggested. Still no touchpad on FallCreatorsUpdate. <BR> Thanks for the info. For better assistance, we suggest contacting our Answer Desk team so they can look at the issue. Click here to reach them <LINK> <BR>",Customer enquired that Touch pad is not working after Fall creator update. Agent updated to contact Answer Desk Team for resolving the issue.
"MicrosoftHelps For the love of GOD what has your last update done to Word? My fellow editors all notice the problems lagging and freezing being the biggest ones. <BR> Hi. Thank you for reaching out. Just to clarify, which version of Office are you running? <BR> MicrosoftHelps 2016. And Windows 10. Which was preinstalled on the machine. <BR> Hi. Lets work on this. To make sure that the Office is uptodate. You may follow the steps on this link <LINK> <BR> MicrosoftHelps Was this the horribly long recent update? <BR> MicrosoftHelps I went to SettingsgtWindows Update. It says my device is up to date. <BR> Lets get that resolved. You may check this article that may help you repair an Office <LINK> <BR> MicrosoftHelps Thank you! This helped. <BR> MicrosoftHelps Okay its hanging up again, but this happens, sadly, with heavily edited documents! <BR> Thanks for the update. We suggest that you contact our Answer Desk for further support about the issue youve encountered <LINK> <BR> MicrosoftHelps I will but entire editorial professional associations report that Word historically freezes and lags if there are too many Tracked Changes to a document. <BR> MicrosoftHelps The other thing that triggers freezing and lagging is lots of comments. And editors comment and query. <BR> May we ask if you were able to contact our Answer Desk support? If yes, could you send us the service request number via direct message? <BR> Hello there. How did things go? Feel free to reach out if you need further assistance. Were here for you. <BR> MicrosoftHelps I had to delete Malwarebytes. I couldnt reach out to the help desk because I had a midnight deadline Word problems added 2 hours to completion time. 1 <BR> MicrosoftHelps I have never spent less than 3 hours on the phone. Usually Office tells me they arent Microsoft and Microsoft tells me to go back to Office. Its a project. For Monday. 2 <BR> Were you provided a Service Request Number? Kindly send it to us and well have it checked. <BR>",Word freezing after a Microsoft update. A link to repairing an office application.
"marksandspencer when you get an email to say your order is ready and waiting then get told to go away because it is 11.45am and you cant have it until 12pm said I could wait but was told it still may not be ready. <BR> Were sorry to hear this, Gemma We do say orders can be collected from midday here <LINK> but can completely understand you being annoyed when youd had an email. 12 <BR> Which store were you collecting from and did you manage to get your order before you let? 22 <BR> marksandspencer Hello, it was the York Vangarde store, and no I went away empty handed as they said they couldnt guarantee they would have scanned all parcels even if I waited an extra 15mins until 12pm. I went back today and collected my parcel <BR> marksandspencer On balance, I went to the Harrogate store Sat 18th Nov and received amazing service from Jerome on the refund collection point. He processed my refund, found my item to collect and even took away the extra packaging. Very helpful <BR> Weve fed this back to our Store Manager, Gemma. Were glad you have your parcel now but really sorry this wasnt sorted yesterday for you. 12 <BR> Weve also been in touch with our Harrogate Store Manager to let them know what youve said about Jerome. Well make sure this gets back to him and he gets some well deserved recognition Thanks. 22 <BR> marksandspencer No problem! Thanks for following this up, could understand if it was 9am but as it was almost 12 it just seemed a bit harsh <BR> marksandspencer Thats great thank you <BR>",Customer arrived fifteen minutes early to pick up a package and was told it was unknown when the package would be ready for pick up. Agent asked which store gave the poor service and did the customer ever receive his package.
"Hey hulusupport, why are there episodes of season 7 missing? <BR> Episode 2 is unavailable at this time, but weve reached out to see if it may be possible to readd it! <BR> hulusupport Thank you for the response. Any idea on when it might be added? ? <BR> We dont have a timeline to share, but rest assured were working on it. Please keep the show in WLMy Stuff for updates. <BR> hulusupport Thank you for the response <BR> hulusupport Hi any new developments on this <BR> Sorrystill no updates quite yet, but well continue sharing the interest in seeing it readded for the future! <BR> hulusupport okay so here is another issue that i have i changed my service level to DISCONTINUE the live portion and drop it back down to the 7.99 version i did this back in Sept and STILL seeing 40 charges for the live package please move me back to 7.99 and refund last month. <BR> Sorry to hear about this! Chat with us here <LINK> and well get this sorted out ASAP. <BR>",Customer enquired about the episodes of season 7 missing. Agent updated that episode 7 will try to checkout to re-add for the future.
